TIME 0.000056, THETA COEF: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
TIME 0.005574, THETA COEF: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
TIME 0.010751, THETA COEF: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
TIME 0.015930, THETA COEF: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
TIME 0.021263, THETA COEF: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
TIME 0.026483, THETA COEF: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
TIME 0.031825, THETA COEF: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
TIME 0.037014, THETA COEF: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
TIME 0.042222, THETA COEF: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
TIME 0.047522, THETA COEF: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
TIME 0.052832, THETA COEF: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
TIME 0.057989, THETA COEF: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
TIME 0.063152, THETA COEF: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
TIME 0.068442, THETA COEF: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
TIME 0.073615, THETA COEF: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
TIME 0.078808, THETA COEF: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
TIME 0.083945, THETA COEF: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
TIME 0.089103, THETA COEF: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
TIME 0.094286, THETA COEF: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
TIME 0.099494, THETA COEF: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
TIME 0.104754, THETA COEF: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
TIME 0.109966, THETA COEF: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
TIME 0.115124, THETA COEF: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
TIME 0.120278, THETA COEF: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
TIME 0.125492, THETA COEF: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
TIME 0.130674, THETA COEF: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
TIME 0.135828, THETA COEF: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
TIME 0.141016, THETA COEF: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
TIME 0.146246, THETA COEF: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
TIME 0.151432, THETA COEF: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
TIME 0.156607, THETA COEF: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
TIME 0.161763, THETA COEF: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
TIME 0.166897, THETA COEF: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
TIME 0.172075, THETA COEF: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
TIME 0.177201, THETA COEF: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
TIME 0.182352, THETA COEF: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
TIME 0.187525, THETA COEF: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
TIME 0.192743, THETA COEF: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
TIME 0.198014, THETA COEF: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
TIME 0.203153, THETA COEF: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
TIME 0.208323, THETA COEF: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
TIME 0.213519, THETA COEF: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
TIME 0.218688, THETA COEF: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
TIME 0.223892, THETA COEF: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
TIME 0.229041, THETA COEF: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
TIME 0.234258, THETA COEF: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
TIME 0.239390, THETA COEF: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
