TIME: 1.548865, ROLL: 0.013931, PITCH: 0.023026, YAW: -0.000703, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 1.601778, ROLL: 0.013728, PITCH: 0.023149, YAW: -0.000739, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 1.654659, ROLL: 0.013728, PITCH: 0.023149, YAW: -0.000739, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 1.707546, ROLL: 0.013728, PITCH: 0.023149, YAW: -0.000739, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 1.760037, ROLL: 0.013728, PITCH: 0.023149, YAW: -0.000739, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 1.812778, ROLL: 0.013666, PITCH: 0.023093, YAW: -0.000747, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 1.865537, ROLL: 0.013666, PITCH: 0.023093, YAW: -0.000747, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 1.918226, ROLL: 0.013666, PITCH: 0.023093, YAW: -0.000747, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 1.970998, ROLL: 0.013666, PITCH: 0.023093, YAW: -0.000747, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 2.023859, ROLL: 0.013666, PITCH: 0.023093, YAW: -0.000747, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 2.076862, ROLL: 0.013776, PITCH: 0.023161, YAW: -0.000750, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 2.129997, ROLL: 0.013776, PITCH: 0.023161, YAW: -0.000750, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 2.161737, ROLL: 0.013776, PITCH: 0.023161, YAW: -0.000750, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 2.210781, ROLL: 0.014248, PITCH: 0.023227, YAW: -0.000766, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 2.263653, ROLL: 0.014248, PITCH: 0.023227, YAW: -0.000766, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 2.316326, ROLL: 0.014248, PITCH: 0.023227, YAW: -0.000766, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 2.369830, ROLL: 0.014248, PITCH: 0.023227, YAW: -0.000766, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 2.422642, ROLL: 0.014006, PITCH: 0.023433, YAW: -0.000815, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 2.475712, ROLL: 0.014006, PITCH: 0.023433, YAW: -0.000815, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 2.528778, ROLL: 0.014006, PITCH: 0.023433, YAW: -0.000815, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 2.581819, ROLL: 0.014006, PITCH: 0.023433, YAW: -0.000815, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 2.634540, ROLL: 0.014141, PITCH: 0.023257, YAW: -0.000846, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 2.687582, ROLL: 0.014141, PITCH: 0.023257, YAW: -0.000846, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 2.740631, ROLL: 0.014141, PITCH: 0.023257, YAW: -0.000846, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 2.793390, ROLL: 0.014141, PITCH: 0.023257, YAW: -0.000846, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 2.846813, ROLL: 0.014095, PITCH: 0.023160, YAW: -0.000856, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 2.870206, ROLL: 0.014095, PITCH: 0.023160, YAW: -0.000856, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 2.879665, ROLL: 0.014095, PITCH: 0.023160, YAW: -0.000856, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 2.895881, ROLL: 0.014095, PITCH: 0.023160, YAW: -0.000856, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 2.905521, ROLL: 0.014095, PITCH: 0.023160, YAW: -0.000856, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 2.929695, ROLL: 0.014125, PITCH: 0.023305, YAW: -0.000893, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 2.982456, ROLL: 0.014125, PITCH: 0.023305, YAW: -0.000893, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 3.035924, ROLL: 0.014125, PITCH: 0.023305, YAW: -0.000893, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 3.088683, ROLL: 0.014135, PITCH: 0.023294, YAW: -0.000830, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
