TIME: 0.161419, ROLL: 0.015515, PITCH: 0.010505, YAW: -0.000274, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.166577, ROLL: 0.015515, PITCH: 0.010505, YAW: -0.000274, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.171755, ROLL: 0.015515, PITCH: 0.010505, YAW: -0.000274, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.176912, ROLL: 0.015515, PITCH: 0.010505, YAW: -0.000274, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.182127, ROLL: 0.015515, PITCH: 0.010505, YAW: -0.000274, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.187359, ROLL: 0.015515, PITCH: 0.010505, YAW: -0.000274, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.192533, ROLL: 0.015515, PITCH: 0.010505, YAW: -0.000274, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.197785, ROLL: 0.015515, PITCH: 0.010505, YAW: -0.000274, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.203087, ROLL: 0.015473, PITCH: 0.010418, YAW: -0.000283, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.208293, ROLL: 0.015473, PITCH: 0.010418, YAW: -0.000283, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.213498, ROLL: 0.015473, PITCH: 0.010418, YAW: -0.000283, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.218736, ROLL: 0.015473, PITCH: 0.010418, YAW: -0.000283, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.224014, ROLL: 0.015473, PITCH: 0.010418, YAW: -0.000283, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.229215, ROLL: 0.015473, PITCH: 0.010418, YAW: -0.000283, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.234393, ROLL: 0.015473, PITCH: 0.010418, YAW: -0.000283, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.239549, ROLL: 0.015473, PITCH: 0.010418, YAW: -0.000283, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.244752, ROLL: 0.015473, PITCH: 0.010418, YAW: -0.000283, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.249951, ROLL: 0.015473, PITCH: 0.010418, YAW: -0.000283, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.255160, ROLL: 0.015473, PITCH: 0.010418, YAW: -0.000283, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.260419, ROLL: 0.015473, PITCH: 0.010418, YAW: -0.000283, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.265744, ROLL: 0.015473, PITCH: 0.010418, YAW: -0.000283, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.270964, ROLL: 0.015473, PITCH: 0.010418, YAW: -0.000283, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.276147, ROLL: 0.015473, PITCH: 0.010418, YAW: -0.000283, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.281396, ROLL: 0.015473, PITCH: 0.010418, YAW: -0.000283, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.286620, ROLL: 0.015473, PITCH: 0.010418, YAW: -0.000283, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.291881, ROLL: 0.015473, PITCH: 0.010418, YAW: -0.000283, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.297089, ROLL: 0.015473, PITCH: 0.010418, YAW: -0.000283, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.302284, ROLL: 0.015473, PITCH: 0.010418, YAW: -0.000283, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
